USER_ID,weight_required_skills,weight_preferred_skills,weight_language,req_R_score,req_Atlassian JIRA Software_score,req_Microsoft Power BI_score,lang_French_score,lang_English_score,normalized_lang_score,normalized_req_score,normalized_pref_score,availability_score,similarity_score,Candidate_score
2433136,9,0,5,200.0,200.0,200.0,300.0,200.0,100.0,66.7,0.0,75.0,71.8,65.46
2540340,9,0,5,40.0,100.0,120.0,300.0,140.0,88.0,28.9,0.0,100.0,100.0,61.27
2676328,9,0,5,160.0,200.0,180.0,300.0,180.0,96.0,60.0,0.0,50.0,64.6,58.35
2433112,9,0,5,0.0,120.0,80.0,300.0,160.0,92.0,22.2,0.0,97.5,88.0,56.81
2452725,9,0,5,200.0,0.0,200.0,300.0,200.0,100.0,44.4,0.0,0.0,93.7,56.74
2551856,9,0,5,80.0,0.0,200.0,300.0,160.0,92.0,31.1,0.0,75.0,83.4,56.08
2433134,9,0,5,0.0,0.0,160.0,300.0,160.0,92.0,17.8,0.0,100.0,87.6,55.64
2789547,9,0,5,0.0,160.0,160.0,300.0,140.0,88.0,35.6,0.0,72.5,79.8,55.48
2579999,9,0,5,80.0,160.0,200.0,300.0,200.0,100.0,48.9,0.0,75.0,50.9,54.9
2443199,9,0,5,120.0,0.0,160.0,300.0,160.0,92.0,31.1,0.0,97.5,65.5,53.86
2447746,9,0,5,0.0,0.0,200.0,300.0,140.0,88.0,22.2,0.0,100.0,78.2,53.81
2453262,9,0,5,0.0,160.0,140.0,300.0,120.0,84.0,33.3,0.0,52.5,85.3,53.36
2433111,9,0,5,0.0,0.0,160.0,300.0,200.0,100.0,17.8,0.0,50.0,85.1,51.61
2445149,9,0,5,0.0,0.0,160.0,300.0,160.0,92.0,17.8,0.0,77.5,79.9,51.46
2433118,9,0,5,0.0,0.0,200.0,300.0,200.0,100.0,22.2,0.0,77.5,67.7,51.33
2583132,9,0,5,0.0,140.0,140.0,270.0,140.0,82.0,31.1,0.0,100.0,59.4,50.58
2836571,9,0,5,120.0,100.0,140.0,300.0,160.0,92.0,40.0,0.0,75.0,47.0,49.65
2499680,9,0,5,160.0,0.0,160.0,300.0,200.0,100.0,35.6,0.0,52.5,54.5,49.56
2946290,9,0,5,180.0,0.0,180.0,300.0,180.0,96.0,40.0,0.0,75.0,42.7,49.38
2513866,9,0,5,120.0,120.0,120.0,300.0,180.0,96.0,40.0,0.0,0.0,72.7,49.38
2433120,9,0,5,0.0,0.0,80.0,300.0,120.0,84.0,8.9,0.0,77.5,86.3,48.8
2671704,9,0,5,200.0,100.0,0.0,300.0,160.0,92.0,33.3,0.0,100.0,41.2,48.69
2456947,9,0,5,80.0,0.0,0.0,300.0,200.0,100.0,8.9,0.0,100.0,62.0,48.17
2578963,9,0,5,0.0,0.0,180.0,300.0,160.0,92.0,20.0,0.0,75.0,64.3,47.98
2447137,9,0,5,0.0,160.0,140.0,300.0,120.0,84.0,33.3,0.0,75.0,53.1,47.56
2450849,9,0,5,0.0,0.0,200.0,300.0,200.0,100.0,22.2,0.0,100.0,43.1,47.43
2513831,9,0,5,0.0,120.0,80.0,300.0,120.0,84.0,22.2,0.0,75.0,65.8,47.41
2433142,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,50.0,88.6,47.15
2560995,9,0,5,0.0,0.0,120.0,300.0,120.0,84.0,13.3,0.0,75.0,75.2,47.09
2451804,9,0,5,0.0,0.0,120.0,300.0,200.0,100.0,13.3,0.0,50.0,72.2,47.04
3072774,9,0,5,80.0,0.0,0.0,300.0,180.0,96.0,8.9,0.0,75.0,68.9,46.6
2433117,9,0,5,0.0,0.0,120.0,300.0,200.0,100.0,13.3,0.0,0.0,89.5,46.36
2501258,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,75.0,74.3,46.08
2433109,9,0,5,0.0,200.0,0.0,300.0,160.0,92.0,22.2,0.0,50.0,62.7,45.74
2433138,9,0,5,0.0,0.0,80.0,300.0,160.0,92.0,8.9,0.0,50.0,78.4,45.67
2446130,9,0,5,0.0,200.0,0.0,300.0,160.0,92.0,22.2,0.0,100.0,40.6,45.21
2445183,9,0,5,0.0,120.0,200.0,300.0,200.0,100.0,35.6,0.0,0.0,58.0,45.18
2444211,9,0,5,0.0,0.0,200.0,300.0,200.0,100.0,22.2,0.0,0.0,72.2,44.71
2475141,9,0,5,0.0,0.0,120.0,300.0,200.0,100.0,13.3,0.0,97.5,42.2,44.29
2725267,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,100.0,57.1,44.28
2433122,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,75.0,72.9,44.12
2433140,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,97.5,57.2,44.05
2513848,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,50.0,81.9,43.88
2502347,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,77.5,63.8,43.7
2433124,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,75.0,64.2,43.55
2501974,9,0,5,0.0,0.0,200.0,300.0,200.0,100.0,22.2,0.0,50.0,47.3,43.48
2446382,9,0,5,80.0,0.0,160.0,300.0,120.0,84.0,26.7,0.0,72.5,45.5,43.44
2433141,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,100.0,53.2,43.3
2433125,9,0,5,0.0,0.0,160.0,300.0,200.0,100.0,17.8,0.0,50.0,51.2,43.14
2453233,9,0,5,160.0,0.0,200.0,300.0,200.0,100.0,40.0,0.0,0.0,43.6,42.9
2817191,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,52.5,70.6,42.9
2433139,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,100.0,51.4,42.85
2634865,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,72.5,60.2,42.3
2443989,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,100.0,49.0,42.25
2443208,9,0,5,200.0,0.0,200.0,300.0,120.0,84.0,44.4,0.0,0.0,46.2,41.67
2708864,9,0,5,0.0,0.0,120.0,300.0,120.0,84.0,13.3,0.0,50.0,63.2,41.59
2433143,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,75.0,55.9,41.48
2433114,9,0,5,0.0,180.0,0.0,300.0,200.0,100.0,20.0,0.0,0.0,61.7,41.42
2433083,9,0,5,0.0,0.0,0.0,300.0,160.0,92.0,0.0,0.0,50.0,71.4,41.25
2895177,9,0,5,0.0,140.0,180.0,0.0,0.0,0.0,35.6,0.0,100.0,82.1,41.2
2662823,9,0,5,0.0,0.0,0.0,300.0,200.0,100.0,0.0,0.0,100.0,44.3,41.08
