USER_ID,LANGUAGE_SKILL_DSC,LANGUAGE_SKILL_LVL
2843838,English,100
2843838,French,100
2841644,English,90
2818577,French,100
2452725,French,100
2453233,English,100
2453262,French,100
2449548,English,60
2503861,English,0
2501164,English,100
2502347,French,100
2689959,English,100
2513866,English,90
2513848,French,100
2766619,English,80
2578963,English,80
2447672,English,80
2451833,English,60
2437177,French,0
2579999,French,100
2501974,French,100
2513831,English,60
2513848,English,80
2552838,English,60
2480827,English,90
2789583,French,100
2452725,English,100
2571584,French,100
2689959,French,100
2634429,French,
2447527,English,80
2457327,English,100
2513866,French,100
2664664,English,
2535513,English,100
2471586,English,
2446029,French,100
2445156,English,100
2433141,French,100
2499680,English,100
2789547,English,70
2448418,French,100
2432194,French,100
2433112,English,80
2433142,French,100
2479537,English,90
2433143,French,100
2433136,French,100
2533337,English,50
2713733,French,80
2449639,French,100
2443771,French,100
2433134,English,80
2453233,French,100
2579999,English,100
2766619,French,100
2533337,French,100
2533338,English,60
2445183,French,100
2818577,English,60
2700124,French,60
2501258,French,100
2501164,French,100
2433136,English,100
2501974,English,100
2583132,French,90
2599691,English,80
2676328,English,90
2540340,French,100
2725267,English,100
2789583,English,100
2451833,French,100
2443989,French,100
2443199,French,100
2433142,English,100
2471586,French,100
2449781,English,100
2433118,French,100
2503861,English,90
2433117,English,100
2513831,French,100
2634865,English,100
2671704,English,80
2433124,French,100
2433109,French,100
2444211,French,100
2443208,French,100
2433120,French,100
2433134,French,100
2443771,English,100
2442934,English,80
2445149,English,80
2443208,English,60
2535513,French,100
2479537,French,100
2433114,English,100
2433099,French,100
2433092,English,80
2450849,French,100
2662823,English,100
2533338,French,100
2456839,French,100
2433141,English,100
2433852,English,80
2433099,English,80
2447746,English,70
2444211,English,100
2936770,English,0
2976032,French,0
2957009,English,100
2841644,French,100
2836571,French,100
2836571,English,80
2708864,English,60
2817191,French,100
2451804,French,100
2453262,English,60
2700124,English,80
2501258,English,100
2560995,English,60
2540340,English,70
2499680,French,100
2645516,French,100
2725267,French,100
2447137,French,100
2447672,French,100
2437177,English,
2433083,French,100
2433120,English,60
2433130,French,100
2448418,English,80
2502347,English,100
2634429,English,
2634865,French,100
2433111,English,100
2446382,French,100
2449548,French,100
2451804,English,100
2475141,English,100
2447527,French,100
2445156,French,100
2449781,French,100
2433144,English,100
2433114,French,100
2599691,French,100
2671704,French,100
2443199,English,80
2433118,English,100
2457327,French,100
2552838,French,100
2443989,English,100
2450849,English,100
2433140,English,100
2571584,English,70
2433122,French,100
2433135,French,100
2433083,English,80
2456839,English,80
2817191,English,100
2708864,French,100
2662823,French,100
2433111,French,100
2551856,English,80
2433143,English,100
2445149,French,100
2456947,French,100
2551856,French,100
2446130,French,100
2446029,English,100
2433092,French,100
2433117,French,100
2676328,French,100
2451715,English,100
2445187,English,80
2433144,French,100
2433139,English,100
2433112,French,100
2713733,English,100
2433124,English,100
2432194,English,100
2578963,French,100
2645516,English,100
2583132,English,70
2664664,French,
2446382,English,60
2456947,English,100
2447746,French,100
2449639,English,60
2475141,French,100
2447137,English,60
2433109,English,80
2433130,English,100
2433135,English,100
2433125,French,100
2433125,English,100
2560995,French,100
2433140,French,100
2433138,French,100
2433139,French,100
2433138,English,80
2445187,French,100
2446130,English,80
2433122,English,80
2445183,English,100
2789547,French,100
2451715,French,100
2936770,French,
2895177,English,0
2976032,English,0
2920938,English,80
2978961,English,100
3072774,French,100
2946290,English,90
2946290,French,100
2967233,English,0
2967233,French,
3072774,English,90
